BookUrl,NumberOfTweets,Readers,Language,AuthorUrl
https://leanpub.com/tspa_jumpstart,,74,English,https://leanpub.com/u/jankrutisch
https://leanpub.com/nways,,57,English,https://leanpub.com/u/lornajane,https://leanpub.com/u/ijansch
https://leanpub.com/trellodojo,,389,English,https://leanpub.com/u/danielroot
https://leanpub.com/prepare-produce-publish,,,English,https://leanpub.com/u/derickbailey
https://leanpub.com/aurav2,,8,English,https://leanpub.com/u/harikt,https://leanpub.com/u/pmjones
https://leanpub.com/kaukamoinen,,,Kirjan kieli: suomalainen,https://leanpub.com/u/fargoer
https://leanpub.com/Cult-Of-PHP,,41,English,https://leanpub.com/u/harshjv
https://leanpub.com/network-diagrams-with-visio,,287,English,https://leanpub.com/u/EtherealMind
https://leanpub.com/thewaraftertimearrival,,,English,https://leanpub.com/u/smickeyd43
https://leanpub.com/shako,,109,言語： 日本語,https://leanpub.com/u/janusz
https://leanpub.com/paradise,,11,English,https://leanpub.com/u/jwmberkowitz
https://leanpub.com/steppinginpuddlesaintsobad,,,English,https://leanpub.com/u/paulbranski
https://leanpub.com/ohmyjs,,1022,English,https://leanpub.com/u/azat
https://leanpub.com/omnithreadlibrary,,365,English Русский язык Español,https://leanpub.com/u/gabr42
https://leanpub.com/ios7daybyday,,1193,English,https://leanpub.com/u/sammyd
https://leanpub.com/leprechauns,,1583,English,https://leanpub.com/u/laurentbossavit
https://leanpub.com/the_spirit_tracker,,4,English,https://leanpub.com/u/normpratt
https://leanpub.com/lessofmehcg,,3,English,https://leanpub.com/u/lessofmehcg
https://leanpub.com/unrequited,,,English,https://leanpub.com/u/elleclouse
https://leanpub.com/hepc,,58,English(English (US)),https://leanpub.com/u/giris
https://leanpub.com/97-Things-Every-Programmer-Should-Know-Extended,,3584,English,https://leanpub.com/u/shirish4you
https://leanpub.com/codingdojohandbook,,664,English(British English),https://leanpub.com/u/emilybache
https://leanpub.com/starlight,,,English,https://leanpub.com/u/kathyonu
https://leanpub.com/Heribone,,2,Lingua del libro: italiana,https://leanpub.com/u/demetriobattaglia
https://leanpub.com/Apocalypse,,12,English,https://leanpub.com/u/andrecronje
https://leanpub.com/codebright-ptbr,,149,Idioma do Livro: Português(Brazillian),https://leanpub.com/u/daylerees,https://leanpub.com/u/luisdalmolin,https://leanpub.com/u/alaguna
https://leanpub.com/responsive-email-design,,8,言語： 日本語,https://leanpub.com/u/anonymous1SIumixSn8xPeECypR25fQ
https://leanpub.com/awarstory,,,English(Free Verse Poetry),https://leanpub.com/u/derrikbulmer3Lmv1jV4T3TvEuHYGSacGr
https://leanpub.com/theagileagency,,780,English,https://leanpub.com/u/bartvermijlen
https://leanpub.com/nightbladedawnofdiscovery,,,English,https://leanpub.com/u/kylemperkins
https://leanpub.com/themadgod,,7,English,https://leanpub.com/u/skylarwolphe
https://leanpub.com/Kindergarten,,,English,https://leanpub.com/u/mesnard
